[04:18:03]Trying to connect to server.
[04:18:03]Successfully connected to server.
[04:18:04]New user connected: fester18.1
[04:18:04]New user connected: fester3.14
[04:18:05]New user connected: fester4.44
[04:18:05]New user connected: fester18.5
[04:18:06]New user connected: fester15.2
[04:18:06]New user connected: fester6.37
[04:18:07]New user connected: fester4.94
[04:18:07]New user connected: fester0.18
[04:18:08]New user connected: fester0.94
[04:18:08]New user connected: fester14.8
[04:18:09]New user connected: fester3.57
[04:18:10]New user connected: fester19.5
[04:18:10]New user connected: fester7.23
[04:18:11]New user connected: fester0.58
[04:18:11]New user connected: fester0.80
[04:18:11]New user connected: fester13.0
[04:18:12]New user connected: fester8.00
[04:18:12]New user connected: fester8.87
[04:18:14]New user connected: fester10.2
[04:18:14]New user connected: fester1.55
[04:18:16]New user connected: fester7.25
[04:18:17]New user connected: fester3.55
[04:18:19]New user connected: fester15.5
[04:18:21]New user connected: fester5.78
[04:18:29]New user connected: fester2.26
