[04:18:09]Trying to connect to server.
[04:18:09]Successfully connected to server.
[04:18:10]New user connected: fester19.5
[04:18:10]New user connected: fester7.23
[04:18:11]New user connected: fester0.58
[04:18:11]New user connected: fester0.80
[04:18:11]New user connected: fester13.0
[04:18:12]New user connected: fester8.00
[04:18:12]New user connected: fester8.87
[04:18:14]New user connected: fester10.2
[04:18:15]New user connected: fester1.55
[04:18:16]New user connected: fester7.25
[04:18:18]New user connected: fester3.55
[04:18:20]New user connected: fester15.5
[04:18:28]New user connected: fester5.78
[04:18:32]New user connected: fester2.26
