[04:04:38]Trying to connect to server.
[04:04:38]Successfully connected to server.
[04:04:38]fester16.3 renamed to: fester17.4
[04:04:38]New user connected: fester0.24
[04:04:38]fester0.24 renamed to: fester1.90
[04:04:38]New user connected: fester18.8
[04:04:38]fester18.8 renamed to: fester11.5
[04:04:38]New user connected: fester6.19
[04:04:38]fester6.19 renamed to: fester11.3
[04:04:39]New user connected: fester15.0
[04:04:39]fester15.0 renamed to: fester3.62
[04:04:39]New user connected: fester8.90
[04:04:39]fester8.90 renamed to: fester5.26
[04:04:39]New user connected: fester12.2
[04:04:39]fester12.2 renamed to: fester0.19
[04:04:39]New user connected: fester6.83
[04:04:39]fester6.83 renamed to: fester5.04
