[04:17:45]Trying to connect to server.
[04:17:45]Successfully connected to server.
[04:17:45]New user connected: fester12.5
[04:17:45]New user connected: fester15.8
[04:17:45]New user connected: fester14.9
[04:17:46]New user connected: fester6.05
[04:17:46]New user connected: fester5.60
[04:17:46]New user connected: fester15.9
[04:17:47]New user connected: fester1.61
[04:17:47]New user connected: fester15.0
[04:17:48]New user connected: fester3.29
[04:17:48]New user connected: fester14.6
[04:17:48]New user connected: fester8.31
[04:17:49]New user connected: fester1.89
[04:17:49]New user connected: fester5.77
[04:17:49]New user connected: fester18.8
[04:17:50]New user connected: fester13.7
[04:17:50]New user connected: fester1.97
[04:17:50]New user connected: fester8.53
[04:17:51]New user connected: fester17.0
[04:17:51]New user connected: fester15.4
[04:17:51]New user connected: fester9.20
[04:17:52]New user connected: fester3.44
[04:17:52]New user connected: fester7.29
[04:17:52]New user connected: fester1.76
[04:17:53]New user connected: fester9.98
[04:17:53]New user connected: fester6.83
[04:17:53]New user connected: fester18.9
[04:17:54]New user connected: fester15.1
[04:17:54]New user connected: fester12.0
[04:17:54]New user connected: fester17.8
[04:17:54]New user connected: fester0.98
[04:17:55]New user connected: fester7.32
[04:17:55]New user connected: fester1.37
[04:17:55]New user connected: fester4.08
[04:17:56]New user connected: fester1.88
[04:17:56]New user connected: fester9.00
[04:17:56]New user connected: fester19.2
[04:17:57]New user connected: fester13.6
[04:17:57]New user connected: fester3.18
[04:17:58]New user connected: fester19.3
[04:17:58]New user connected: fester3.90
[04:17:59]New user connected: fester12.3
[04:17:59]New user connected: fester2.87
[04:17:59]New user connected: fester12.2
[04:18:00]New user connected: fester17.4
[04:18:00]New user connected: fester9.70
[04:18:01]New user connected: fester14.0
[04:18:01]New user connected: fester0.22
[04:18:01]New user connected: fester4.15
[04:18:02]New user connected: fester9.09
[04:18:02]New user connected: fester6.90
[04:18:03]New user connected: fester8.69
[04:18:03]New user connected: fester16.5
[04:18:04]New user connected: fester18.1
[04:18:04]New user connected: fester3.14
[04:18:05]New user connected: fester4.44
[04:18:05]New user connected: fester18.5
[04:18:06]New user connected: fester15.2
[04:18:06]New user connected: fester6.37
[04:18:07]New user connected: fester4.94
[04:18:07]New user connected: fester0.18
[04:18:08]New user connected: fester0.94
[04:18:08]New user connected: fester14.8
[04:18:09]New user connected: fester3.57
[04:18:10]New user connected: fester19.5
[04:18:10]New user connected: fester7.23
[04:18:11]New user connected: fester0.58
[04:18:11]New user connected: fester0.80
[04:18:12]New user connected: fester13.0
[04:18:12]New user connected: fester8.00
[04:18:13]New user connected: fester8.87
[04:18:14]New user connected: fester10.2
[04:18:16]New user connected: fester1.55
[04:18:16]New user connected: fester7.25
[04:18:17]New user connected: fester3.55
[04:18:20]New user connected: fester15.5
[04:18:27]New user connected: fester5.78
[04:18:30]New user connected: fester2.26
